cid,confidence,plate,epochtime,imageLocation
1,90,ABC123,3444444,plateimg/19-may-2019-12:14.jpg
2,33,ABBBB,5555555,/plateImg/aaaaa.jpg
3,88.437698,BX8SS,1558262153572,plateimg/19-May-20:35-2019.jpg
4,89.261681,S58XR,1558262214935,plateimg/19-May-20:36-2019.jpg
5,90.64257,BS58XR,1558262224714,plateimg/19-May-20:37-2019.jpg
6,86.532837,3S58XR,1558262244653,plateimg/19-May-20:37-2019.jpg
7,92.740143,BS5BXR,1558262255950,plateimg/19-May-20:37-2019.jpg
8,89.647507,BS58X,1558262304901,plateimg/19-May-20:38-2019.jpg
9,88.622925,BS58X,1558262332011,plateimg/19-May-20:38-2019.jpg
10,93.104439,BS58XR,1558262349322,plateimg/19-May-20:39-2019.jpg
11,87.98996,9S58XR,1558262740329,plateimg/19-May-20:45-2019.jpg
12,82.563286,1558,1558262764963,plateimg/19-May-20:46-2019.jpg
13,92.680092,BS5BX,1558262777046,plateimg/19-May-20:46-2019.jpg
14,90.264854,BS58X,1558262788695,plateimg/19-May-20:46-2019.jpg
15,93.296402,BS58X,1558262874990,plateimg/19-May-20:47-2019.jpg
16,86.56842,X8SSB,1558263475508,plateimg/19-May-20:57-2019.jpg
17,84.492676,B558X,1558263483921,plateimg/19-May-20:58-2019.jpg
18,88.215858,BS58X,1558263499834,plateimg/19-May-20:58-2019.jpg
19,90.34726,BS58,1558263529149,plateimg/19-May-20:58-2019.jpg
20,93.891205,BS5BXR,1558263537327,plateimg/19-May-20:58-2019.jpg
21,93.337105,BS58XR,1558263546496,plateimg/19-May-20:59-2019.jpg
22,92.577599,BS5BXR,1558267362134,plateimg/19-May-22:02-2019.jpg
23,89.148827,BS58X,1558267374851,plateimg/19-May-22:02-2019.jpg
24,92.857712,S58XR,1558267575318,plateimg/19-May-22:06-2019.jpg
25,90.68708,BS58XR,1558267591811,plateimg/19-May-22:06-2019.jpg
26,91.391457,BS58XR,1558267749496,plateimg/19-May-22:09-2019.jpg
27,86.82766,58XR,1558268582047,plateimg/19-May-22:22-2019.jpg
28,89.081848,BS58X,1558268647023,plateimg/19-May-22:24-2019.jpg
29,90.217712,BS58XE,1558268699592,plateimg/19-May-22:24-2019.jpg
30,92.8825,BS58XR,1558268719556,plateimg/19-May-22:25-2019.jpg
31,90.544548,BS58X,1558268885614,plateimg/19-May-22:28-2019.jpg
32,85.262993,S58XR1,1558268897630,plateimg/19-May-22:28-2019.jpg
33,84.64093,BS58X,1558268904954,plateimg/19-May-22:28-2019.jpg
34,89.50354,BS58X,1558268929381,plateimg/19-May-22:28-2019.jpg
35,91.592834,BS58X,1558268948279,plateimg/19-May-22:29-2019.jpg
36,84.088272,BS58J,1558268966531,plateimg/19-May-22:29-2019.jpg
37,90.627426,S58XR,1558268974512,plateimg/19-May-22:29-2019.jpg
38,85.244759,558XR,1558269148364,plateimg/19-May-22:32-2019.jpg
39,93.109634,BS58X,1558269157218,plateimg/19-May-22:32-2019.jpg
40,88.462929,BS58X,1558269182468,plateimg/19-May-22:32-2019.jpg
41,84.751205,B558,1558269279792,plateimg/19-May-22:34-2019.jpg
42,91.922485,BS58XR,1558269289053,plateimg/19-May-22:34-2019.jpg
43,89.170776,BS58X,1558269398743,plateimg/19-May-22:36-2019.jpg
44,91.514999,BS58X,1558269405987,plateimg/19-May-22:36-2019.jpg
45,93.236603,BS58X,1558323314719,plateimg/20-May-13:35-2019.jpg
46,93.992348,BS58X,1558323607266,plateimg/20-May-13:40-2019.jpg
47,93.343689,BS58XR,1558325340399,plateimg/20-May-14:08-2019.jpg
48,92.859962,BS58XR,1558325552721,plateimg/20-May-14:12-2019.jpg
49,92.855202,BS58XR,1558325562440,plateimg/20-May-14:12-2019.jpg
50,93.020103,S58XR,1558325574608,plateimg/20-May-14:12-2019.jpg
51,93.318047,BS58XR,1558325585140,plateimg/20-May-14:13-2019.jpg
52,90.680595,BS58X,1558325618351,plateimg/20-May-14:13-2019.jpg
53,93.277077,BS5BXR,1558325624799,plateimg/20-May-14:13-2019.jpg
54,93.744576,BS58XR,1558325657702,plateimg/20-May-14:14-2019.jpg
55,89.71254,BS58X,1558326905812,plateimg/20-May-14:35-2019.jpg
56,90.793251,BS58XR,1558326913828,plateimg/20-May-14:35-2019.jpg
57,91.248589,S58XR,1558326920951,plateimg/20-May-14:35-2019.jpg
58,90.733589,BS58XR,1558326927308,plateimg/20-May-14:35-2019.jpg
59,91.063499,BS58XR,1558327211732,plateimg/20-May-14:40-2019.jpg
60,92.108749,S58XR,1558327230207,plateimg/20-May-14:40-2019.jpg
61,90.032616,BS58XR,1558327871520,plateimg/20-May-14:51-2019.jpg
62,91.13736,BS58XR,1558327886248,plateimg/20-May-14:51-2019.jpg
63,91.522514,BS58XR,1558328182073,plateimg/20-May-14:56-2019.jpg
64,89.933929,BS58XR,1558328318672,plateimg/20-May-14:58-2019.jpg
65,90.686882,BS58XR,1558328326213,plateimg/20-May-14:58-2019.jpg
66,90.990929,BS58XR,1558328332058,plateimg/20-May-14:58-2019.jpg
67,90.777794,BS58X,1558328545021,plateimg/20-May-15:02-2019.jpg
68,91.186554,BS58XR,1558328552721,plateimg/20-May-15:02-2019.jpg
69,90.903709,BS58XR,1558328560361,plateimg/20-May-15:02-2019.jpg
70,90.166588,BS58XR,1558328566343,plateimg/20-May-15:02-2019.jpg
71,91.398186,BS58XR,1558328866497,plateimg/20-May-15:07-2019.jpg
72,89.928215,BS58XR,1558328944431,plateimg/20-May-15:09-2019.jpg
73,84.343506,BS58XR,1558329000894,plateimg/20-May-15:09-2019.jpg
74,91.699005,BS58XR,1558329030043,plateimg/20-May-15:10-2019.jpg
75,87.79847,BS58XR,1558331421703,static/plateimg/20-May-15-50-2019.jpg
76,90.535362,S58XR,1558331894656,static/plateimg/20-May-15-58-2019.jpg
77,91.67794,BS58XR,1558332072553,static/plateimg/20-May-16-01-2019.jpg
78,91.43895,S58XR,1558339735775,static/plateimg/20-May-18-08-2019.jpg
79,90.391205,S58XR,1558429056765,static/plateimg/21-May-18:57-2019.jpg
80,86.676727,58XR,1558429061191,static/plateimg/21-May-18:57-2019.jpg
81,84.782089,RS58,1558429689742,static/plateimg/21-May-19:08-2019.jpg
82,89.424919,BS58X,1558435501058,static/plateimg/21-May-20:44-2019.jpg
83,79.186745,BS58XR,1558496023949,static/plateimg/22-May-13:33-2019.jpg
84,78.147232,L8SS,1558496082048,static/plateimg/22-May-13:34-2019.jpg
85,89.650917,BS58XR,1558496116548,static/plateimg/22-May-13:35-2019.jpg
86,84.215164,BS58,1558496238939,static/plateimg/22-May-13:37-2019.jpg
87,80.785736,X8SS,1558513549251,static/plateimg/22-May-18:25-2019.jpg
88,80.641426,1L0S,1558513560812,static/plateimg/22-May-18:25-2019.jpg
89,81.452133,X8SS,1558513572439,static/plateimg/22-May-18:26-2019.jpg
90,90.524353,BS58XR,1558513606894,static/plateimg/22-May-18:26-2019.jpg
